issn,issn_norm,title,title_norm,publisher,imprint,model,usd,eur,gbp,source
1720-8319,17208319,Aging Clinical and Experimental Research,aging clinical experimental research,Springer Nature,Springer,fully_oa,4690,3490,2990,2026 Springer Nature fully open access journals.pdf
2193-7532,21937532,Agricultural and Food Economics,agricultural food economics,Springer Nature,Springer,fully_oa,1690,1290,1140,2026 Springer Nature fully open access journals.pdf
3059-4510,30594510,Agricultural Products Processing and Storage,agricultural products processing storage,Springer Nature,Springer,fully_oa,2090,1790,1490,2026 Springer Nature fully open access journals.pdf
2048-7010,20487010,Agriculture & Food Security,agriculture food security,Springer Nature,BioMed Central,fully_oa,2390,2090,1890,2026 Springer Nature fully open access journals.pdf
2730-5392,27305392,AI in Civil Engineering,ai civil engineering,Springer Nature,Springer,fully_oa,,,,2026 Springer Nature fully open access journals.pdf
2948-2143,29482143,AI Perspectives & Advances,ai perspectives advances,Springer Nature,Springer,fully_oa,1890,1590,1240,2026 Springer Nature fully open access journals.pdf
3059-3883,30593883,"AI, Brain and Child",ai brain child,Springer Nature,Springer,fully_oa,2490,2090,1790,2026 Springer Nature fully open access journals.pdf
1742-6405,17426405,AIDS Research and Therapy,aids research therapy,Springer Nature,BioMed Central,fully_oa,3090,2590,2190,2026 Springer Nature fully open access journals.pdf
1748-7188,17487188,Algorithms for Molecular Biology,algorithms molecular biology,Springer Nature,BioMed Central,fully_oa,2590,2190,1790,2026 Springer Nature fully open access journals.pdf
1710-1492,17101492,"Allergy, Asthma & Clinical Immunology",allergy asthma clinical immunology,Springer Nature,BioMed Central,fully_oa,3190,2690,2390,2026 Springer Nature fully open access journals.pdf
1868-8551,18688551,ALTEX,altex,Springer Nature,Springer,fully_oa,,,,2026 Springer Nature fully open access journals.pdf
1758-9193,17589193,Alzheimer's Research & Therapy,alzheimer s research therapy,Springer Nature,BioMed Central,fully_oa,4390,3490,3090,2026 Springer Nature fully open access journals.pdf
2191-0855,21910855,AMB Express,amb express,Springer Nature,Springer,fully_oa,3090,2690,2390,2026 Springer Nature fully open access journals.pdf
1438-2199,14382199,Amino Acids,amino acids,Springer Nature,Springer,fully_oa,3690,2890,2490,2026 Springer Nature fully open access journals.pdf
2731-8389,27318389,Anesthesiology and Perioperative Science,anesthesiology perioperative science,Springer Nature,Springer,fully_oa,2390,1940,1620,2026 Springer Nature fully open access journals.pdf
2050-3385,20503385,Animal Biotelemetry,animal biotelemetry,Springer Nature,BioMed Central,fully_oa,2490,2190,1990,2026 Springer Nature fully open access journals.pdf
1435-9456,14359456,Animal Cognition,animal cognition,Springer Nature,Springer,fully_oa,3490,2790,2390,2026 Springer Nature fully open access journals.pdf
2731-0442,27310442,Animal Diseases,animal diseases,Springer Nature,BioMed Central,fully_oa,,,,2026 Springer Nature fully open access journals.pdf
2524-4671,25244671,Animal Microbiome,animal microbiome,Springer Nature,BioMed Central,fully_oa,2290,1890,1340,2026 Springer Nature fully open access journals.pdf
1476-0711,14760711,Annals of Clinical Microbiology and Antimicrobials,annals clinical microbiology antimicrobials,Springer Nature,BioMed Central,fully_oa,3290,2790,2390,2026 Springer Nature fully open access journals.pdf
1297-966X,1297966X,Annals of Forest Science,annals forest science,Springer Nature,BioMed Central,fully_oa,2470,1940,1740,2026 Springer Nature fully open access journals.pdf
1744-859X,1744859X,Annals of General Psychiatry,annals general psychiatry,Springer Nature,BioMed Central,fully_oa,3090,2690,2290,2026 Springer Nature fully open access journals.pdf
1432-0584,14320584,Annals of Hematology,annals hematology,Springer Nature,Springer,fully_oa,4590,3590,2890,2026 Springer Nature fully open access journals.pdf
1869-2044,18692044,Annals of Microbiology,annals microbiology,Springer Nature,BioMed Central,fully_oa,2590,2190,1890,2026 Springer Nature fully open access journals.pdf
2561-4150,25614150,Anthropocene Coasts,anthropocene coasts,Springer Nature,Springer,fully_oa,,,,2026 Springer Nature fully open access journals.pdf
2047-2994,20472994,Antimicrobial Resistance & Infection Control,antimicrobial resistance infection control,Springer Nature,BioMed Central,fully_oa,3290,2790,2390,2026 Springer Nature fully open access journals.pdf
2468-0842,24680842,Applied Biological Chemistry,applied biological chemistry,Springer Nature,Springer,fully_oa,1790,1450,1290,2026 Springer Nature fully open access journals.pdf
1432-0614,14320614,Applied Microbiology and Biotechnology,applied microbiology biotechnology,Springer Nature,Springer,fully_oa,4390,3390,2790,2026 Springer Nature fully open access journals.pdf
2287-4445,22874445,Applied Microscopy,applied microscopy,Springer Nature,Springer,fully_oa,2690,2290,1990,2026 Springer Nature fully open access journals.pdf
2364-8228,23648228,Applied Network Science,applied network science,Springer Nature,Springer,fully_oa,1790,1490,1240,2026 Springer Nature fully open access journals.pdf
1432-0649,14320649,Applied Physics B,applied physics b,Springer Nature,Springer,fully_oa,4090,3090,2690,2026 Springer Nature fully open access journals.pdf
2190-5495,21905495,Applied Water Science,applied water science,Springer Nature,Springer,fully_oa,2590,2190,1890,2026 Springer Nature fully open access journals.pdf
3005-0723,30050723,Aquaculture Science and Management,aquaculture science management,Springer Nature,BioMed Central,fully_oa,1990,1690,1490,2026 Springer Nature fully open access journals.pdf
2731-6726,27316726,Architectural Intelligence,architectural intelligence,Springer Nature,Springer,fully_oa,,,,2026 Springer Nature fully open access journals.pdf
2383-5575,23835575,Architectural Research,architectural research,Springer Nature,,fully_oa,1990,1690,1490,2026 Springer Nature fully open access journals.pdf
1432-0711,14320711,Archives of Gynecology and Obstetrics,archives gynecology obstetrics,Springer Nature,Springer,fully_oa,4590,3490,2890,2026 Springer Nature fully open access journals.pdf
1434-3916,14343916,Archives of Orthopaedic and Trauma Surgery,archives orthopaedic trauma surgery,Springer Nature,Springer,fully_oa,4590,3590,2890,2026 Springer Nature fully open access journals.pdf
2049-3258,20493258,Archives of Public Health,archives public health,Springer Nature,BioMed Central,fully_oa,3090,2690,2390,2026 Springer Nature fully open access journals.pdf
1876-4401,18764401,Artery Research,artery research,Springer Nature,BioMed Central,fully_oa,1890,1490,1240,2026 Springer Nature fully open access journals.pdf
1478-6362,14786362,Arthritis Research & Therapy,arthritis research therapy,Springer Nature,BioMed Central,fully_oa,3790,3190,2790,2026 Springer Nature fully open access journals.pdf
2524-7948,25247948,Arthroplasty,arthroplasty,Springer Nature,BioMed Central,fully_oa,2890,2390,2090,2026 Springer Nature fully open access journals.pdf
1573-7462,15737462,Artificial Intelligence Review,artificial intelligence review,Springer Nature,Springer,fully_oa,3390,2790,2490,2026 Springer Nature fully open access journals.pdf
2287-1160,22871160,Asian Journal of Atmospheric Environment,asian journal atmospheric environment,Springer Nature,Springer,fully_oa,2090,1790,1490,2026 Springer Nature fully open access journals.pdf
2731-5835,27315835,Asian Review of Political Economy,asian review political economy,Springer Nature,Springer,fully_oa,,,,2026 Springer Nature fully open access journals.pdf
2363-5169,23635169,Pacific Journal of Second and Foreign Language Edu,pacific journal second foreign language edu,Springer Nature,catioSnpringer,fully_oa,1690,1490,1240,2026 Springer Nature fully open access journals.pdf
2365-5135,23655135,Automotive and Engine Technology,automotive engine technology,Springer Nature,Springer,fully_oa,3090,2490,2190,2026 Springer Nature fully open access journals.pdf
2730-616X,2730616X,Autonomous Intelligent Systems,autonomous intelligent systems,Springer Nature,Springer,fully_oa,,,,2026 Springer Nature fully open access journals.pdf
2051-4190,20514190,Basic and Clinical Andrology,basic clinical andrology,Springer Nature,BioMed Central,fully_oa,3090,2690,2390,2026 Springer Nature fully open access journals.pdf
2056-807X,2056807X,BDJ Open,bdj open,Springer Nature,Springer Nature,fully_oa,3690,2990,2590,2026 Springer Nature fully open access journals.pdf
1744-9081,17449081,Behavioral and Brain Functions,behavioral brain functions,Springer Nature,BioMed Central,fully_oa,3190,2690,2290,2026 Springer Nature fully open access journals.pdf
2314-8543,23148543,ni-Suef University Journal of Basic and Applied Scien,ni suef university journal basic applied scien,Springer Nature,ces Springer,fully_oa,1990,1690,1490,2026 Springer Nature fully open access journals.pdf
2524-7867,25247867,Biochar,biochar,Springer Nature,Springer,fully_oa,2790,2290,2060,2026 Springer Nature fully open access journals.pdf
1756-0381,17560381,BioData Mining,biodata mining,Springer Nature,BioMed Central,fully_oa,2790,2290,2090,2026 Springer Nature fully open access journals.pdf
2332-8886,23328886,Bioelectronic Medicine,bioelectronic medicine,Springer Nature,BioMed Central,fully_oa,2690,2290,1990,2026 Springer Nature fully open access journals.pdf
1467-4866,14674866,Biogeochemical Advances,biogeochemical advances,Springer Nature,BioMed Central,fully_oa,1590,1290,1090,2026 Springer Nature fully open access journals.pdf
1573-515X,1573515X,Biogeochemistry,biogeochemistry,Springer Nature,Springer,fully_oa,3490,2790,2390,2026 Springer Nature fully open access journals.pdf
1480-9222,14809222,Biological Procedures Online,biological procedures online,Springer Nature,BioMed Central,fully_oa,3590,2990,2690,2026 Springer Nature fully open access journals.pdf
0717-6287,07176287,Biological Research,biological research,Springer Nature,BioMed Central,fully_oa,2890,2490,2190,2026 Springer Nature fully open access journals.pdf
1745-6150,17456150,Biology Direct,biology direct,Springer Nature,BioMed Central,fully_oa,2990,2590,2290,2026 Springer Nature fully open access journals.pdf
2042-6410,20426410,Biology of Sex Differences,biology sex differences,Springer Nature,BioMed Central,fully_oa,3290,2790,2490,2026 Springer Nature fully open access journals.pdf
2050-7771,20507771,Biomarker Research,biomarker research,Springer Nature,BioMed Central,fully_oa,4090,3190,2890,2026 Springer Nature fully open access journals.pdf
1475-925X,1475925X,BioMedical Engineering OnLine,biomedical engineering online,Springer Nature,BioMed Central,fully_oa,2790,2390,2090,2026 Springer Nature fully open access journals.pdf
3091-3284,30913284,Biomedical Materials Science,biomedical materials science,Springer Nature,BioMed Central,fully_oa,2390,1990,1690,2026 Springer Nature fully open access journals.pdf
1751-0759,17510759,BioPsychoSocial Medicine,biopsychosocial medicine,Springer Nature,BioMed Central,fully_oa,2490,2090,1790,2026 Springer Nature fully open access journals.pdf
2197-4365,21974365,Bioresources and Bioprocessing,bioresources bioprocessing,Springer Nature,Springer,fully_oa,1990,1690,1440,2026 Springer Nature fully open access journals.pdf
3004-8648,30048648,Bioscience Nanotechnology,bioscience nanotechnology,Springer Nature,BioMed Central,fully_oa,1790,1490,1290,2026 Springer Nature fully open access journals.pdf
3091-387X,3091387X,Biosensors and Biomolecular Electronics,biosensors biomolecular electronics,Springer Nature,Springer Nature,fully_oa,2390,1990,1690,2026 Springer Nature fully open access journals.pdf
2731-3654,27313654,Biotechnology for Biofuels and Bioproducts,biotechnology biofuels bioproducts,Springer Nature,BioMed Central,fully_oa,2990,2490,2190,2026 Springer Nature fully open access journals.pdf
3091-3551,30913551,Biotechnology for Food Future,biotechnology food future,Springer Nature,BioMed Central,fully_oa,2190,1890,1590,2026 Springer Nature fully open access journals.pdf
2948-2348,29482348,Biotechnology for Sustainable Materials,biotechnology sustainable materials,Springer Nature,BioMed Central,fully_oa,2390,2090,1790,2026 Springer Nature fully open access journals.pdf
2948-2356,29482356,Biotechnology for the Environment,biotechnology environment,Springer Nature,BioMed Central,fully_oa,2390,2090,1790,2026 Springer Nature fully open access journals.pdf
2731-9377,27319377,BJC Reports,bjc reports,Springer Nature,Springer Nature,fully_oa,2790,2290,1990,2026 Springer Nature fully open access journals.pdf
2044-5385,20445385,Blood Cancer Journal,blood cancer journal,Springer Nature,Springer Nature,fully_oa,5490,4390,3690,2026 Springer Nature fully open access journals.pdf
2288-0011,22880011,Blood Research,blood research,Springer Nature,Springer,fully_oa,2370,1950,1640,2026 Springer Nature fully open access journals.pdf
2948-2364,29482364,Blue Biotechnology,blue biotechnology,Springer Nature,BioMed Central,fully_oa,2390,2090,1790,2026 Springer Nature fully open access journals.pdf
3005-1932,30051932,BMC Agriculture,bmc agriculture,Springer Nature,BioMed Central,fully_oa,2090,1790,1590,2026 Springer Nature fully open access journals.pdf
1471-2253,14712253,BMC Anesthesiology,bmc anesthesiology,Springer Nature,BioMed Central,fully_oa,3290,2890,2590,2026 Springer Nature fully open access journals.pdf
3005-1924,30051924,BMC Artificial Intelligence,bmc artificial intelligence,Springer Nature,BioMed Central,fully_oa,2090,1790,1590,2026 Springer Nature fully open access journals.pdf
1471-2105,14712105,BMC Bioinformatics,bmc bioinformatics,Springer Nature,BioMed Central,fully_oa,3090,2590,2290,2026 Springer Nature fully open access journals.pdf
1741-7007,17417007,BMC Biology,bmc biology,Springer Nature,BioMed Central,fully_oa,3790,3090,2690,2026 Springer Nature fully open access journals.pdf
2524-4426,25244426,BMC Biomedical Engineering,bmc biomedical engineering,Springer Nature,BioMed Central,fully_oa,2190,1790,1290,2026 Springer Nature fully open access journals.pdf
1472-6750,14726750,BMC Biotechnology,bmc biotechnology,Springer Nature,BioMed Central,fully_oa,3090,2690,2390,2026 Springer Nature fully open access journals.pdf
1471-2407,14712407,BMC Cancer,bmc cancer,Springer Nature,BioMed Central,fully_oa,3550,3150,2690,2026 Springer Nature fully open access journals.pdf
1471-2261,14712261,BMC Cardiovascular Disorders,bmc cardiovascular disorders,Springer Nature,BioMed Central,fully_oa,3290,2790,2490,2026 Springer Nature fully open access journals.pdf
2661-801X,2661801X,BMC Chemistry,bmc chemistry,Springer Nature,BioMed Central,fully_oa,3090,2690,2390,2026 Springer Nature fully open access journals.pdf
2662-7671,26627671,BMC Complementary Medicine and Therapies,bmc complementary medicine therapies,Springer Nature,BioMed Central,fully_oa,3090,2690,2390,2026 Springer Nature fully open access journals.pdf
2731-684X,2731684X,BMC Digital Health,bmc digital health,Springer Nature,BioMed Central,fully_oa,2190,1790,1490,2026 Springer Nature fully open access journals.pdf
2730-7182,27307182,BMC Ecology and Evolution,bmc ecology evolution,Springer Nature,BioMed Central,fully_oa,2990,2590,2290,2026 Springer Nature fully open access journals.pdf
1471-227X,1471227X,BMC Emergency Medicine,bmc emergency medicine,Springer Nature,BioMed Central,fully_oa,2990,2590,2390,2026 Springer Nature fully open access journals.pdf
1472-6823,14726823,BMC Endocrine Disorders,bmc endocrine disorders,Springer Nature,BioMed Central,fully_oa,3390,2890,2590,2026 Springer Nature fully open access journals.pdf
3004-8710,30048710,BMC Environmental Science,bmc environmental science,Springer Nature,BioMed Central,fully_oa,1990,1690,1390,2026 Springer Nature fully open access journals.pdf
1471-230X,1471230X,BMC Gastroenterology,bmc gastroenterology,Springer Nature,BioMed Central,fully_oa,3390,2890,2590,2026 Springer Nature fully open access journals.pdf
2730-6844,27306844,BMC Genomic Data,bmc genomic data,Springer Nature,BioMed Central,fully_oa,2290,1990,1490,2026 Springer Nature fully open access journals.pdf
1471-2164,14712164,BMC Genomics,bmc genomics,Springer Nature,BioMed Central,fully_oa,3190,2790,2390,2026 Springer Nature fully open access journals.pdf
1471-2318,14712318,BMC Geriatrics,bmc geriatrics,Springer Nature,BioMed Central,fully_oa,3290,2890,2490,2026 Springer Nature fully open access journals.pdf
2731-913X,2731913X,BMC Global and Public Health,bmc global public health,Springer Nature,BioMed Central,fully_oa,2690,2290,1950,2026 Springer Nature fully open access journals.pdf
1472-6963,14726963,BMC Health Services Research,bmc health services research,Springer Nature,BioMed Central,fully_oa,3450,3050,2590,2026 Springer Nature fully open access journals.pdf
1471-2172,14712172,BMC Immunology,bmc immunology,Springer Nature,BioMed Central,fully_oa,3190,2790,2390,2026 Springer Nature fully open access journals.pdf
1471-2334,14712334,BMC Infectious Diseases,bmc infectious diseases,Springer Nature,BioMed Central,fully_oa,3190,2790,2590,2026 Springer Nature fully open access journals.pdf
3059-4979,30594979,BMC Marine Science,bmc marine science,Springer Nature,BioMed Central,fully_oa,1990,1690,1490,2026 Springer Nature fully open access journals.pdf
1472-6920,14726920,BMC Medical Education,bmc medical education,Springer Nature,BioMed Central,fully_oa,3090,2690,2490,2026 Springer Nature fully open access journals.pdf
1472-6939,14726939,BMC Medical Ethics,bmc medical ethics,Springer Nature,BioMed Central,fully_oa,2390,2090,1690,2026 Springer Nature fully open access journals.pdf
1755-8794,17558794,BMC Medical Genomics,bmc medical genomics,Springer Nature,BioMed Central,fully_oa,3290,2890,2490,2026 Springer Nature fully open access journals.pdf
1471-2342,14712342,BMC Medical Imaging,bmc medical imaging,Springer Nature,BioMed Central,fully_oa,3290,2790,2490,2026 Springer Nature fully open access journals.pdf
1472-6947,14726947,BMC Medical Informatics and Decision Making,bmc medical informatics decision making,Springer Nature,BioMed Central,fully_oa,3090,2690,2390,2026 Springer Nature fully open access journals.pdf
1471-2288,14712288,BMC Medical Research Methodology,bmc medical research methodology,Springer Nature,BioMed Central,fully_oa,3090,2690,2290,2026 Springer Nature fully open access journals.pdf
1741-7015,17417015,BMC Medicine,bmc medicine,Springer Nature,BioMed Central,fully_oa,4490,3690,3190,2026 Springer Nature fully open access journals.pdf
3004-8729,30048729,BMC Methods,bmc methods,Springer Nature,BioMed Central,fully_oa,1490,1240,1090,2026 Springer Nature fully open access journals.pdf
1471-2180,14712180,BMC Microbiology,bmc microbiology,Springer Nature,BioMed Central,fully_oa,3090,2690,2390,2026 Springer Nature fully open access journals.pdf
2661-8850,26618850,BMC Molecular and Cell Biology,bmc molecular cell biology,Springer Nature,BioMed Central,fully_oa,2590,2150,1850,2026 Springer Nature fully open access journals.pdf
1471-2474,14712474,BMC Musculoskeletal Disorders,bmc musculoskeletal disorders,Springer Nature,BioMed Central,fully_oa,3190,2690,2390,2026 Springer Nature fully open access journals.pdf
1471-2369,14712369,BMC Nephrology,bmc nephrology,Springer Nature,BioMed Central,fully_oa,3190,2790,2490,2026 Springer Nature fully open access journals.pdf
1471-2377,14712377,BMC Neurology,bmc neurology,Springer Nature,BioMed Central,fully_oa,3190,2690,2390,2026 Springer Nature fully open access journals.pdf
1471-2202,14712202,BMC Neuroscience,bmc neuroscience,Springer Nature,BioMed Central,fully_oa,2990,2490,2190,2026 Springer Nature fully open access journals.pdf
1472-6955,14726955,BMC Nursing,bmc nursing,Springer Nature,BioMed Central,fully_oa,3190,2790,2590,2026 Springer Nature fully open access journals.pdf
2055-0928,20550928,BMC Nutrition,bmc nutrition,Springer Nature,BioMed Central,fully_oa,2390,2090,1890,2026 Springer Nature fully open access journals.pdf
1471-2415,14712415,BMC Ophthalmology,bmc ophthalmology,Springer Nature,BioMed Central,fully_oa,3090,2590,2290,2026 Springer Nature fully open access journals.pdf
1472-6831,14726831,BMC Oral Health,bmc oral health,Springer Nature,BioMed Central,fully_oa,3290,2790,2490,2026 Springer Nature fully open access journals.pdf
1472-684X,1472684X,BMC Palliative Care,bmc palliative care,Springer Nature,BioMed Central,fully_oa,3090,2690,2290,2026 Springer Nature fully open access journals.pdf
1471-2431,14712431,BMC Pediatrics,bmc pediatrics,Springer Nature,BioMed Central,fully_oa,3190,2690,2390,2026 Springer Nature fully open access journals.pdf
3091-3918,30913918,BMC Personalized Medicine,bmc personalized medicine,Springer Nature,BioMed Central,fully_oa,,,,2026 Springer Nature fully open access journals.pdf
2050-6511,20506511,BMC Pharmacology and Toxicology,bmc pharmacology toxicology,Springer Nature,BioMed Central,fully_oa,3190,2690,2390,2026 Springer Nature fully open access journals.pdf
1471-2229,14712229,BMC Plant Biology,bmc plant biology,Springer Nature,BioMed Central,fully_oa,3190,2790,2490,2026 Springer Nature fully open access journals.pdf
3059-3697,30593697,BMC Plastic and Reconstructive Surgery,bmc plastic reconstructive surgery,Springer Nature,BioMed Central,fully_oa,2090,1790,1590,2026 Springer Nature fully open access journals.pdf
1471-2393,14712393,BMC Pregnancy and Childbirth,bmc pregnancy childbirth,Springer Nature,BioMed Central,fully_oa,3390,2890,2590,2026 Springer Nature fully open access journals.pdf
2731-4553,27314553,BMC Primary Care,bmc primary care,Springer Nature,BioMed Central,fully_oa,2990,2590,2390,2026 Springer Nature fully open access journals.pdf
1753-6561,17536561,BMC Proceedings,bmc proceedings,Springer Nature,BioMed Central,fully_oa,,,,2026 Springer Nature fully open access journals.pdf
1471-244X,1471244X,BMC Psychiatry,bmc psychiatry,Springer Nature,BioMed Central,fully_oa,3390,2990,2590,2026 Springer Nature fully open access journals.pdf
2050-7283,20507283,BMC Psychology,bmc psychology,Springer Nature,BioMed Central,fully_oa,2090,1690,1390,2026 Springer Nature fully open access journals.pdf
1471-2458,14712458,BMC Public Health,bmc public health,Springer Nature,BioMed Central,fully_oa,3450,3150,2690,2026 Springer Nature fully open access journals.pdf
1471-2466,14712466,BMC Pulmonary Medicine,bmc pulmonary medicine,Springer Nature,BioMed Central,fully_oa,3190,2690,2390,2026 Springer Nature fully open access journals.pdf
1756-0500,17560500,BMC Research Notes,bmc research notes,Springer Nature,BioMed Central,fully_oa,1790,1490,1240,2026 Springer Nature fully open access journals.pdf
2520-1026,25201026,BMC Rheumatology,bmc rheumatology,Springer Nature,BioMed Central,fully_oa,2290,1990,1490,2026 Springer Nature fully open access journals.pdf
2052-1847,20521847,"BMC Sports Science, Medicine and Rehabilitation",bmc sports science medicine rehabilitation,Springer Nature,BioMed Central,fully_oa,3090,2690,2490,2026 Springer Nature fully open access journals.pdf
1471-2482,14712482,BMC Surgery,bmc surgery,Springer Nature,BioMed Central,fully_oa,3190,2690,2390,2026 Springer Nature fully open access journals.pdf
1471-2490,14712490,BMC Urology,bmc urology,Springer Nature,BioMed Central,fully_oa,3090,2690,2390,2026 Springer Nature fully open access journals.pdf
1746-6148,17466148,BMC Veterinary Research,bmc veterinary research,Springer Nature,BioMed Central,fully_oa,3290,2890,2490,2026 Springer Nature fully open access journals.pdf
1472-6874,14726874,BMC Women's Health,bmc women s health,Springer Nature,BioMed Central,fully_oa,3090,2690,2390,2026 Springer Nature fully open access journals.pdf
2056-3132,20563132,BMC Zoology,bmc zoology,Springer Nature,BioMed Central,fully_oa,1990,1790,1340,2026 Springer Nature fully open access journals.pdf
2095-6231,20956231,Bone Research,bone research,Springer Nature,Springer Nature,fully_oa,3525,2890,2590,2026 Springer Nature fully open access journals.pdf
2051-6673,20516673,derline Personality Disorder and Emotion Dysregula,derline personality disorder emotion dysregula,Springer Nature,tioBnioMed Central,fully_oa,2690,2390,2190,2026 Springer Nature fully open access journals.pdf
1999-3110,19993110,Botanical Studies,botanical studies,Springer Nature,Springer,fully_oa,2390,1990,1690,2026 Springer Nature fully open access journals.pdf
1687-2770,16872770,Boundary Value Problems,boundary value problems,Springer Nature,Springer,fully_oa,1990,1590,1290,2026 Springer Nature fully open access journals.pdf
2198-4026,21984026,Brain Informatics,brain informatics,Springer Nature,Springer,fully_oa,1140,940,840,2026 Springer Nature fully open access journals.pdf
1465-542X,1465542X,Breast Cancer Research,breast cancer research,Springer Nature,BioMed Central,fully_oa,4190,3390,2990,2026 Springer Nature fully open access journals.pdf
2662-6802,26626802,Built Heritage,built heritage,Springer Nature,Springer,fully_oa,,,,2026 Springer Nature fully open access journals.pdf
2536-9660,25369660,Bulletin of Faculty of Physical Therapy,bulletin faculty physical therapy,Springer Nature,Springer,fully_oa,,,,2026 Springer Nature fully open access journals.pdf
2522-8307,25228307,Bulletin of the National Research Centre,bulletin national research centre,Springer Nature,Springer,fully_oa,,,,2026 Springer Nature fully open access journals.pdf
2049-3002,20493002,Cancer & Metabolism,cancer metabolism,Springer Nature,BioMed Central,fully_oa,3190,2790,2490,2026 Springer Nature fully open access journals.pdf
1475-2867,14752867,Cancer Cell International,cancer cell international,Springer Nature,BioMed Central,fully_oa,3290,2790,2490,2026 Springer Nature fully open access journals.pdf
1470-7330,14707330,Cancer Imaging,cancer imaging,Springer Nature,BioMed Central,fully_oa,2890,2490,2290,2026 Springer Nature fully open access journals.pdf
1432-0851,14320851,"Cancer Immunology, Immunotherapy",cancer immunology immunotherapy,Springer Nature,Springer,fully_oa,4790,3590,2990,2026 Springer Nature fully open access journals.pdf
1868-6966,18686966,Cancer Nanotechnology,cancer nanotechnology,Springer Nature,BioMed Central,fully_oa,2090,1790,1490,2026 Springer Nature fully open access journals.pdf
1750-0680,17500680,Carbon Balance and Management,carbon balance management,Springer Nature,BioMed Central,fully_oa,1990,1590,1390,2026 Springer Nature fully open access journals.pdf
3059-3875,30593875,Carbon Neutral Systems,carbon neutral systems,Springer Nature,Springer,fully_oa,,,,2026 Springer Nature fully open access journals.pdf
2731-3948,27313948,Carbon Neutrality,carbon neutrality,Springer Nature,Springer,fully_oa,,,,2026 Springer Nature fully open access journals.pdf
2731-6696,27316696,Carbon Research,carbon research,Springer Nature,Springer,fully_oa,1990,1590,1390,2026 Springer Nature fully open access journals.pdf
2193-6544,21936544,Cardiology and Therapy,cardiology therapy,Springer Nature,Adis,fully_oa,7675,5950,5120,2026 Springer Nature fully open access journals.pdf
